show_id,cast_id
s53,142.0
s54,130.0
s54,131.0
s54,133.0
s54,134.0
s54,135.0
s54,136.0
s54,140.0
s54,143.0
s54,144.0
s54,145.0
s55,130.0
s55,131.0
s55,133.0
s55,134.0
s55,135.0
s55,137.0
s55,136.0
s55,146.0
s55,140.0
s55,147.0
s57,148.0
s57,149.0
s57,150.0
s57,151.0
s57,152.0
s57,153.0
s57,154.0
s57,155.0
s57,156.0
s57,157.0
s58,148.0
s58,149.0
s58,158.0
s58,159.0
s58,160.0
s58,151.0
s58,150.0
s58,161.0
s58,162.0
s58,163.0
s58,164.0
s59,148.0
s59,149.0
s59,151.0
s59,163.0
s59,161.0
s59,165.0
s59,166.0
s59,167.0
s59,162.0
s59,164.0
s59,168.0
s59,169.0
s59,170.0
s60,148.0
s60,149.0
s60,168.0
s60,169.0
s60,171.0
s60,172.0
s60,173.0
s60,174.0
s60,175.0
s60,176.0
s60,177.0
s60,178.0
s60,179.0
s60,157.0
s60,180.0
s60,181.0
s60,151.0
s60,161.0
s60,182.0
s60,183.0
s60,184.0
s61,148.0
s61,149.0
s61,163.0
s61,150.0
s61,185.0
s61,186.0
s61,180.0
s61,187.0
s61,188.0
s61,189.0
s61,190.0
s61,191.0
s61,192.0
s61,138.0
s62,148.0
s62,193.0
s62,149.0
s62,161.0
s62,194.0
s62,195.0
s62,196.0
s62,197.0
s62,134.0
s62,198.0
s63,148.0
s63,149.0
s63,168.0
s63,151.0
s63,141.0
s63,199.0
s63,200.0
s63,201.0
s63,202.0
s63,203.0
s64,148.0
s64,158.0
s64,149.0
s64,151.0
s64,204.0
s64,205.0
s64,206.0
s64,207.0
s64,208.0
s64,209.0
s74,210.0
s74,211.0
s74,212.0
s74,213.0
s74,214.0
s74,215.0
s74,216.0
s74,217.0
s82,218.0
s82,219.0
s82,220.0
s82,221.0
s82,222.0
s82,223.0
s82,224.0
s85,225.0
s85,226.0
s85,227.0
s85,228.0
s85,229.0
s85,230.0
s85,231.0
s85,232.0
s85,233.0
s85,234.0
s91,235.0
s91,236.0
s91,237.0
s91,238.0
s91,239.0
s91,240.0
s91,241.0
s91,242.0
s95,243.0
s95,244.0
s95,245.0
s95,246.0
s95,247.0
s95,248.0
s95,249.0
s95,250.0
s95,251.0
s95,252.0
s95,253.0
s95,254.0
s97,255.0
s97,256.0
s97,257.0
s97,258.0
s97,259.0
s97,260.0
s97,261.0
s97,262.0
s97,263.0
s97,264.0
s106,265.0
s106,266.0
s106,267.0
s106,268.0
s106,269.0
s106,270.0
s106,271.0
s106,272.0
s106,273.0
s106,274.0
s106,275.0
s108,276.0
s108,277.0
s108,278.0
s108,279.0
s108,280.0
s108,281.0
s115,282.0
s115,283.0
s115,284.0
s115,285.0
s115,286.0
s115,287.0
s115,288.0
s115,289.0
s115,290.0
s116,291.0
s116,292.0
s116,293.0
s116,294.0
s116,295.0
s116,296.0
s116,297.0
s116,298.0
s116,299.0
s116,300.0
s117,301.0
s117,302.0
s117,303.0
s117,304.0
s117,305.0
s117,306.0
s117,307.0
s117,308.0
s119,309.0
s119,310.0
s119,311.0
s119,312.0
s119,313.0
s119,314.0
s123,315.0
s123,316.0
s123,317.0
s123,318.0
s123,319.0
s123,320.0
s123,321.0
s123,322.0
s127,323.0
s127,324.0
s127,325.0
s127,326.0
s127,327.0
s127,328.0
s127,329.0
s127,330.0
s128,331.0
s128,332.0
s128,333.0
s128,334.0
s128,335.0
s128,336.0
s128,337.0
s128,338.0
s128,339.0
s128,340.0
s128,341.0
s128,342.0
s128,343.0
s128,344.0
s128,345.0
s130,346.0
s130,347.0
s130,348.0
s130,349.0
s130,350.0
s130,351.0
s130,352.0
s130,353.0
s130,354.0
s130,355.0
s132,62.0
s132,356.0
s132,357.0
s132,358.0
s132,359.0
s132,360.0
s132,361.0
s132,362.0
s132,363.0
s132,364.0
s132,365.0
s132,366.0
s134,367.0
s134,368.0
s134,369.0
s134,370.0
s134,371.0
s134,372.0
s134,373.0
s134,374.0
s134,375.0
s134,376.0
s135,62.0
s135,377.0
s135,378.0
s135,379.0
s135,380.0
s135,123.0
s135,381.0
s135,382.0
s135,383.0
s135,384.0
s135,385.0
s135,386.0
s135,387.0
s136,388.0
s136,389.0
s136,390.0
s136,391.0
s136,392.0
s136,393.0
s136,394.0
s136,395.0
s136,396.0
